,Restaurante,Dirección,Direccion_Web,Vader,Estrellas,Tipo_de_comida
0,11 Nudos - Barcelona,"Gran Via de les Corts Catalanes, 373, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d2709908-Reviews-11_Nudos_Terraza_Nordes_Barcelona-Barcelona_Catalonia.html,0.8225,5.0,Meats
1,1881 per Sagardi,"Plaça de Pau Vila, 3, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d2008476-Reviews-1881_per_Sagardi-Barcelona_Catalonia.html,0.9517,5.0,Tapas
2,3 Focs,"Calle de Valencia, 207, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d7129929-Reviews-3_Focs-Barcelona_Catalonia.html,0.8074,5.0,Tapas
3,4 Gats,"Carrer de Montsio, 3, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d896759-Reviews-4_Gats-Barcelona_Catalonia.html,0.836,5.0,Tapas
4,65 Degrees Barcelona,"Carrer del Davant del Portal Nou 3, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d10693617-Reviews-65_Degrees_Barcelona-Barcelona_Catalonia.html,0.8655,5.0,Tapas
5,7 Portes,"Passeig Isabel II 14, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d697396-Reviews-7_Portes-Barcelona_Catalonia.html,0.8255,5.0,Tapas
6,9 Reinas Barcelona,"Carrer de València, 267, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d2023368-Reviews-9_Reinas_Barcelona-Barcelona_Catalonia.html,0.926,5.0,Meats
7,A Tu Bola,"Carrer de l'Hospital, 78, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d6370280-Reviews-A_Tu_Bola-Barcelona_Catalonia.html,0.9169,5.0,Meats
8,A estrela Galega,"Rosalia de Castro 26, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d1081035-Reviews-A_estrela_Galega-Barcelona_Catalonia.html,0.8555,5.0,Meats
9,ABaC,"Avinguda Tibidabo, 1, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d1074448-Reviews-ABaC-Barcelona_Catalonia.html,0.8016,5.0,Seafood
10,Abasolo Etxea,"Carrer de Marià Cubi, 190, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d2489499-Reviews-Abasolo_Etxea-Barcelona_Catalonia.html,0.9556,5.0,Tapas
11,Abirradero,"Carrer Vila i Vila, 77, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d8738631-Reviews-Abirradero-Barcelona_Catalonia.html,0.8225,5.0,Tapas
12,Abrassame,"Gran Via de Las Corts Catalanes, 373-385, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d3163723-Reviews-Abrassame-Barcelona_Catalonia.html,0.875,5.0,Seafood
13,Agreste de Fabio & Roser,"Carrer Funoses Llussà 2, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d11895655-Reviews-Agreste_de_Fabio_Roser-Barcelona_Catalonia.html,0.802,5.0,Italian
14,Agua,"Passeig Marítim de la Barceloneta 30, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d697400-Reviews-Agua-Barcelona_Catalonia.html,0.8779,5.0,Tapas
15,Aguaribay,"Carrer del Taulat 95, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d2416616-Reviews-Aguaribay-Barcelona_Catalonia.html,0.9638,5.0,Italian
16,Agust Barcelona,"Carrer Parlament 54, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d8469307-Reviews-Agust_Barcelona-Barcelona_Catalonia.html,0.9607,5.0,Meats
17,Agüelo Taberna Barcelona,"Calle d'Avinyó, 37, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d6525662-Reviews-Aguelo_Taberna_Barcelona-Barcelona_Catalonia.html,0.9332,5.0,Tapas
18,Akashi Gallery,"Carrer Rossello, 197, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d3813797-Reviews-Akashi_Gallery-Barcelona_Catalonia.html,0.8074,5.0,Seafood
19,Aladdin restaurante,"Avinguda de Gaudi, 50,, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d1762758-Reviews-Aladdin_Restaurante-Barcelona_Catalonia.html,0.9432,5.0,Vegetarian
20,Alba Granados,"Enric Granados 34, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d1057957-Reviews-Alba_Granados-Barcelona_Catalonia.html,0.8519,5.0,Tapas
21,Albé Barcelona,"Carrer de Mallorca 196, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d21241222-Reviews-Albe_Barcelona-Barcelona_Catalonia.html,0.9705,5.0,Tapas
22,Almalibre Açaí House Barcelona,"Girona 118, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d12697767-Reviews-Almalibre_Acai_House_Barcelona-Barcelona_Catalonia.html,0.9468,5.0,Vegetarian
23,Alquimia Barcelona,"Carrer D'Aribau, 77, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d21074724-Reviews-Alquimia_Barcelona-Barcelona_Catalonia.html,0.9381,5.0,Tapas
24,Alsur Café (Llúria),"Roger de Llúria 23, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d6571484-Reviews-Alsur_Cafe_Lluria-Barcelona_Catalonia.html,0.8658,5.0,Tapas
