Nombre,Dirección,Direccion_Web
Barcelona Tapas,"Calle Matamoros 906, Puerto Vallarta, México",/Restaurant_Review-g150793-d1032982-Reviews-Barcelona_Tapas-Puerto_Vallarta.html
BelleBuon,"Travessera de Gràcia 441, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d4049034-Reviews-BelleBuon-Barcelona_Catalonia.html
Restaurant Ciudad Condal,"Rambla de Catalunya 18, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d15091420-Reviews-Restaurant_Ciudad_Condal-Barcelona_Catalonia.html
Vicky Barcelona,"Dob utca 16., Budapest, Hungría Central, Hungría",/Restaurant_Review-g274887-d9459214-Reviews-Vicky_Barcelona-Budapest_Central_Hungary.html
Le Romane,"Carrer Muntaner 103, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d15589100-Reviews-Le_Romane-Barcelona_Catalonia.html
Pulpería Can Lampazas,"Avinguda del Paral·lel, 159, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d10643938-Reviews-Pulperia_Can_Lampazas-Barcelona_Catalonia.html
Corchos Barcelona -Colina,"Av boyaca 145c 2, Bogotá, Colombia",/Restaurant_Review-g294074-d12991509-Reviews-Corchos_Barcelona_Colina-Bogota.html
El Nacional,"Paseo de Gracia 24, bis, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d7175242-Reviews-El_Nacional-Barcelona_Catalonia.html
Can Paixano (La Xampanyeria),"Carreer de la Reina Christina 7, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d940427-Reviews-Can_Paixano_La_Xampanyeria-Barcelona_Catalonia.html
Bar Tomas,"Major de Sarrià 49, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d945538-Reviews-Bar_Tomas-Barcelona_Catalonia.html
7 Portes,"Passeig Isabel II 14, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d697396-Reviews-7_Portes-Barcelona_Catalonia.html
Casa Amàlia,"Ptge. del Mercat, 14, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d2002185-Reviews-Casa_Amalia-Barcelona_Catalonia.html
El Xampanyet,"Carrer de Montcada, 22, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d697571-Reviews-El_Xampanyet-Barcelona_Catalonia.html
Can Culleretes,"Calle Quintana, 5 Ciutat Vella, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d697461-Reviews-Can_Culleretes-Barcelona_Catalonia.html
Fàbrica Moritz Barcelona,"Ronda Sant Antoni 41, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1079745-Reviews-Fabrica_Moritz_Barcelona-Barcelona_Catalonia.html
La Flauta,"Calle D'aribau, 23, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d787824-Reviews-La_Flauta-Barcelona_Catalonia.html
La Patsa Lab,"Calle Casanova 94, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d19658890-Reviews-La_Patsa_Lab-Barcelona_Catalonia.html
Arcano,"Carrer dels Mercaders, 10, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d986234-Reviews-Arcano_Barcelona-Barcelona_Catalonia.html
Nine Barcelona,"Carrer Valencia 334, local 1, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d9857188-Reviews-Nine_Barcelona-Barcelona_Catalonia.html
Blu Bar,"Rambla de Poblenou, 11, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d13423033-Reviews-Blu_Bar-Barcelona_Catalonia.html
Viana,"Carrer del Vidre, 7, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d8531409-Reviews-Viana-Barcelona_Catalonia.html
Colom,"Escudellers, 33, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d3179219-Reviews-Colom-Barcelona_Catalonia.html
Teresa Carles,"Jovellanos, 2, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d2075668-Reviews-Teresa_Carles-Barcelona_Catalonia.html
Zenith Brunch & Cocktails,"Gran Via de les Corts Catalanes, 633, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d23531482-Reviews-Zenith_Brunch_Cocktails-Barcelona_Catalonia.html
Ramen-ya Hiro,"Carrer Girona 164, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d3845663-Reviews-Ramen_ya_Hiro-Barcelona_Catalonia.html
Mirabé,"C/ Manuel Arnús, 2, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d997434-Reviews-Mirabe-Barcelona_Catalonia.html
Gusto,"Calle de Rossello, 108, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1575800-Reviews-Gusto-Barcelona_Catalonia.html
Vinitus,"Carrer de Consell de Cent, 333, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1228300-Reviews-Vinitus-Barcelona_Catalonia.html
Bar Cañete,"Carrer de la Unió, 17, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1905775-Reviews-Bar_Canete-Barcelona_Catalonia.html
Cervecería Catalana,"Carrer de Mallorca, 236, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d782944-Reviews-Cerveceria_Catalana-Barcelona_Catalonia.html
Thai Barcelona | Royal Cuisine,"Diputació, 273., Barcelona, Cataluña, España",/Restaurant_Review-g187497-d800988-Reviews-Thai_Barcelona_Royal_Cuisine_Restaurant-Barcelona_Catalonia.html
Cristina de Barcelona Viva,"6a. Avenida 12, Ciudad de Guatemala, Guatemala Department, Guatemala",/Restaurant_Review-g292006-d3382356-Reviews-Cristina_de_Barcelona_Viva-Guatemala_City_Guatemala_Department.html
Vrutal,"Rambla del Poblenou No 16, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d21262074-Reviews-Vrutal-Barcelona_Catalonia.html
La Gastronómica Burgers,"Carrer Vilamarí 9-15, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d12702677-Reviews-La_Gastronomica_Burgers-Barcelona_Catalonia.html
Marina Bay Barcelona,"Carrer de la Marina, 1921, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1788626-Reviews-Marina_Bay-Barcelona_Catalonia.html
Tandoori Nights,"Carrer Carretes 44, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d5418221-Reviews-Tandoori_Nights-Barcelona_Catalonia.html
Bella Italia,"Carrer de Roger de Lluria, 87, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d4022240-Reviews-Bella_Italia-Barcelona_Catalonia.html
Desoriente,"Carrer De Ramon Turró 209, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d24121270-Reviews-Desoriente-Barcelona_Catalonia.html
Tapeo,"Montcada, 29, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1863141-Reviews-Tapeo_Born-Barcelona_Catalonia.html
Babula Bar 1937,"Calle Pau Claris 139, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d15759527-Reviews-Babula_Bar_1937-Barcelona_Catalonia.html
Rossini,"Plaza Real 13, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1082035-Reviews-Rossini-Barcelona_Catalonia.html
Bar Xapako,"Consell de Cent 411, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d7277786-Reviews-Bar_Xapako-Barcelona_Catalonia.html
Bodega Biarritz 1881 Tapas bar,"Carrer Nou de Sant Francesc, 7, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d11906544-Reviews-Bodega_Biarritz_1881_Tapas_bar-Barcelona_Catalonia.html
La Tasqueta De Blai,"Carrer de Blai, 15-17, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d4155257-Reviews-La_Tasqueta_De_Blai-Barcelona_Catalonia.html
El Vaso de Oro,"Balboa, 6, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d697568-Reviews-El_Vaso_de_Oro-Barcelona_Catalonia.html
Uma,"Carrer de Mallorca, 275, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d8003030-Reviews-Uma-Barcelona_Catalonia.html
Can Cortada,"Avinguda de l'Estatut de Catalunya, s/n, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d697460-Reviews-Can_Cortada-Barcelona_Catalonia.html
La Cova Fumada,"Calle Baluard, 56, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d943811-Reviews-La_Cova_Fumada-Barcelona_Catalonia.html
Paco Meralgo,"C/ Muntaner 171, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d945264-Reviews-Paco_Meralgo-Barcelona_Catalonia.html
Jardinet D'Aribau,"Carrer d'Aribau, 133, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d7291485-Reviews-Jardinet_D_Aribau-Barcelona_Catalonia.html
Carlota Akaneya,"Pintor Fortuny 32, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d2369018-Reviews-Carlota_Akaneya-Barcelona_Catalonia.html
Buenos Aires Grill Restaurant,"Carrer de València, 189, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d6413496-Reviews-Buenos_Aires_Grill_Restaurant-Barcelona_Catalonia.html
Anita Flow,"Consell de Cent, 413, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d17519526-Reviews-Anita_Flow-Barcelona_Catalonia.html
Restaurante Arume,"Calle Botella, 11-13, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d6839857-Reviews-Restaurante_Arume-Barcelona_Catalonia.html
Maná 75,"Passeig Joan de Borbó 101, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d12300678-Reviews-Mana_75-Barcelona_Catalonia.html
Koy Shunka,"Carrer de Copons, 7, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1471799-Reviews-Koy_Shunka-Barcelona_Catalonia.html
Don Kilo Restaurant,"Carrer de Girona 133, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d15081706-Reviews-Don_Kilo_Restaurant-Barcelona_Catalonia.html
Martinez,"Carretera de Miramar, 38, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d4732353-Reviews-Martinez-Barcelona_Catalonia.html
PETIT BANGKOK,"08006, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d776472-Reviews-PETIT_BANGKOK_calle_vallirana_29-Barcelona_Catalonia.html
Les Quinze Nits,"Plaça Reial, 6, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d717319-Reviews-Les_Quinze_Nits-Barcelona_Catalonia.html
Botafumeiro,"Carrer Gran de Gràcia, 81, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d697432-Reviews-Botafumeiro-Barcelona_Catalonia.html
Restaurant Etapes,"Enric Granados, 10, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1857309-Reviews-Restaurant_Etapes-Barcelona_Catalonia.html
Shunka,"c/Sagristans 5, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d717410-Reviews-Shunka-Barcelona_Catalonia.html
Sports Bar Italian Food - C. Ample,"Carrer Ample, 51, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d3379888-Reviews-Sports_Bar_Italian_Food_C_Ample-Barcelona_Catalonia.html
Bodega Biarritz 1881,"Carrer Vidre, 8, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d3832462-Reviews-Bodega_Biarritz_1881-Barcelona_Catalonia.html
Raó Restaurant,"Carrer de les Sitges, 3, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d14129049-Reviews-RAO_Restaurant-Barcelona_Catalonia.html
Koku Kitchen Ramen,"C/ Carabassa 19, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d6405312-Reviews-Koku_Kitchen_Ramen-Barcelona_Catalonia.html
Boca Grande,"Passatge de la Concepcio 12, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d2323566-Reviews-Boca_Grande-Barcelona_Catalonia.html
Chaka Khan,"Carrer Hospital, 104, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d12787272-Reviews-Chaka_Khan-Barcelona_Catalonia.html
Via Veneto,"Ganduxer 10-12, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d718430-Reviews-Via_Veneto-Barcelona_Catalonia.html
Robata,"Enric Granados 55, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d10816804-Reviews-Robata-Barcelona_Catalonia.html
Raco D'en Cesc,"Calle Diputacio, 201, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d816727-Reviews-Raco_D_en_Cesc-Barcelona_Catalonia.html
Piazze D'Italia,"Carrer de Casanova, 94, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d997375-Reviews-Piazze_D_Italia-Barcelona_Catalonia.html
Quimet & Quimet,"Poeta Cabanyes 25, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d717377-Reviews-Quimet_Quimet-Barcelona_Catalonia.html
Don Kilo Gourmet,"Carrer Corsega 398, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d20053811-Reviews-Don_Kilo_Gourmet-Barcelona_Catalonia.html
4 Gats,"Carrer de Montsio, 3, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d896759-Reviews-4_Gats-Barcelona_Catalonia.html
Can Valles,"Carrer d'Arago, 95. Entre Calabria y Rocafort, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1036570-Reviews-Can_Valles-Barcelona_Catalonia.html
Sushifresh,"Via augusta 65 local 1, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d3369039-Reviews-Sushifresh-Barcelona_Catalonia.html
Taco Alto Born,"Portal Nou, 62, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d8811075-Reviews-Taco_Alto-Barcelona_Catalonia.html
Restaurante La Boqueria,"Carrer de la Boqueria Numero 17, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d8384662-Reviews-Restaurante_La_Boqueria-Barcelona_Catalonia.html
Restaurante Lasarte,"C/ Mallorca, 259, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d809578-Reviews-Restaurante_Lasarte-Barcelona_Catalonia.html
La Gastronómica Platillos,"Carrer de Calàbria, 118, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d20300429-Reviews-La_Gastronomica_Platillos-Barcelona_Catalonia.html
Pastelería Hofmann,"Carrer dels Flassaders, 44, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d15601606-Reviews-Pasteleria_Hofmann-Barcelona_Catalonia.html
Restaurante Kurai,"Calle Tarragona 99, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d10247890-Reviews-Restaurante_Kurai-Barcelona_Catalonia.html
Torre d'Alta Mar,"Passeig Joan de Borbo 88, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d718424-Reviews-Torre_d_Alta_Mar-Barcelona_Catalonia.html
Restaurante Los Caracoles,"Carrer d´Escudellers, 14, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d717325-Reviews-Los_Caracoles-Barcelona_Catalonia.html
Don Asador,"Comte d’ urgell 111, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d23106564-Reviews-Don_Asador-Barcelona_Catalonia.html
Xiringuito Escribà,"Avinguda Litoral, 62, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d718434-Reviews-Xiringuito_Escriba-Barcelona_Catalonia.html
Restaurante Parrilla Alfonsina,"Diputacio, 379, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1499251-Reviews-Restaurante_Parrilla_Alfonsina-Barcelona_Catalonia.html
El Quim de la Boqueria,"Rambles 91, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1080763-Reviews-El_Quim_de_la_Boqueria-Barcelona_Catalonia.html
Restaurante Rokelin Gourmet,"Comte d'Urgell, 7, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d9738466-Reviews-Restaurante_Rokelin_Gourmet-Barcelona_Catalonia.html
Bodega Vasconia,"Gignas 13, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d2145823-Reviews-Bodega_Vasconia-Barcelona_Catalonia.html
La Fonda,"Carrer dels Escudellers, 10, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d717275-Reviews-La_Fonda-Barcelona_Catalonia.html
Pampero,"Plaza Doctor Letamendi, 25, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1061194-Reviews-Pampero-Barcelona_Catalonia.html
El Pachuco,"Sant Pau 110, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d4913325-Reviews-El_Pachuco-Barcelona_Catalonia.html
La Mundana,"Vallespir, 93, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d9554526-Reviews-La_Mundana-Barcelona_Catalonia.html
Oria Restaurant,"Passeig de Gracia 75, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d10457403-Reviews-Oria_Restaurant-Barcelona_Catalonia.html
Irati Taverna Basca,"Carrer del Cardenal Casañas, 17, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d717425-Reviews-Irati_Taverna_Basca-Barcelona_Catalonia.html
Arabia Café-Restaurant,"Escudellers 25, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1869917-Reviews-Arabia_Cafe_Restaurant-Barcelona_Catalonia.html
Prado de Flores,"Calle Santa Anna 11,, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d6024218-Reviews-Prado_de_Flores-Barcelona_Catalonia.html
Pez Vela Chiringuito,"Paseo del Mare Nostrum 19/21, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d2299241-Reviews-Pez_Vela_Chiringuito-Barcelona_Catalonia.html
Elsa y Fred,"Carrer del Rec Comtal, 11, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d3265508-Reviews-Elsa_y_Fred-Barcelona_Catalonia.html
Billy Brunch Headquarters,"C/ de Muntaner, 64, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d21339906-Reviews-Billy_Brunch_Headquarters-Barcelona_Catalonia.html
Dona Rosa,"Carrer de Ferlandina, 27, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d10285793-Reviews-Dona_Rosa-Barcelona_Catalonia.html
Teòric Taverna Gastronòmica,"Carrer de Bailen, 117, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d11881068-Reviews-Teoric_Taverna_Gastronomica-Barcelona_Catalonia.html
Eixampeling Brunch Café & Bar,"Diputacion 158, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d12356083-Reviews-Eixampeling_Brunch_Cafe_Bar-Barcelona_Catalonia.html
La Cala,"C/Escar 18 5B, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d12595308-Reviews-La_Cala-Barcelona_Catalonia.html
ANTICHI SAPORI DE ANGELIS,"Carrer de Collblanc 48, L'Hospitalet de Llobregat, Cataluña, España",/Restaurant_Review-g665810-d2371083-Reviews-Antichi_Sapori_de_Angelis-L_Hospitalet_de_Llobregat_Catalonia.html
