Restaurante,Puntaje
Barcelona Tapas,"4,5"
BelleBuon,"5,0"
Restaurant Ciudad Condal,"4,5"
Vicky Barcelona,"4,5"
Le Romane,"5,0"
Pulpería Can Lampazas,"4,5"
Corchos Barcelona -Colina,"4,5"
El Nacional,"4,0"
Can Paixano (La Xampanyeria),"4,5"
Bar Tomas,"3,5"
7 Portes,"4,0"
Casa Amàlia,"4,5"
El Xampanyet,"4,5"
Can Culleretes,"4,0"
Fàbrica Moritz Barcelona,"4,0"
La Flauta,"4,5"
La Patsa Lab,"5,0"
Arcano,"4,5"
Nine Barcelona,"4,5"
Blu Bar,"5,0"
Viana,"5,0"
Colom,"4,5"
Teresa Carles,"4,5"
Zenith Brunch & Cocktails,"5,0"
Ramen-ya Hiro,"4,5"
Mirabé,"4,5"
Gusto,"4,5"
Vinitus,"4,5"
Bar Cañete,"4,5"
Cervecería Catalana,"4,5"
Thai Barcelona | Royal Cuisine,"4,0"
Cristina de Barcelona Viva,"4,5"
Vrutal,"5,0"
La Gastronómica Burgers,"5,0"
Marina Bay Barcelona,"4,0"
Tandoori Nights,"4,5"
Bella Italia,"5,0"
Desoriente,"5,0"
Tapeo,"4,5"
Babula Bar 1937,"5,0"
Rossini,"4,5"
Bar Xapako,"5,0"
Bodega Biarritz 1881 Tapas bar,"5,0"
La Tasqueta De Blai,"4,5"
El Vaso de Oro,"4,5"
Uma,"5,0"
Can Cortada,"4,5"
La Cova Fumada,"4,5"
Paco Meralgo,"4,5"
Jardinet D'Aribau,"4,5"
Carlota Akaneya,"4,5"
Buenos Aires Grill Restaurant,"4,5"
Anita Flow,"5,0"
Restaurante Arume,"4,5"
Maná 75,"4,5"
Koy Shunka,"4,5"
Don Kilo Restaurant,"5,0"
Martinez,"3,5"
PETIT BANGKOK,"4,5"
Les Quinze Nits,"3,5"
Botafumeiro,"4,0"
Restaurant Etapes,"4,5"
Shunka,"4,5"
Sports Bar Italian Food - C. Ample,"4,5"
Bodega Biarritz 1881,"4,5"
Raó Restaurant,"5,0"
Koku Kitchen Ramen,"4,5"
Boca Grande,"4,0"
Chaka Khan,"5,0"
Via Veneto,"4,5"
Robata,"4,5"
Raco D'en Cesc,"4,5"
Piazze D'Italia,"4,5"
Quimet & Quimet,"4,5"
Don Kilo Gourmet,"5,0"
4 Gats,"4,0"
Can Valles,"4,5"
